image_id,file_name,source_file_name,source_scene_id,tile_x,tile_y,tile_size,num_objects,mask_area_pixels,mask_area_ratio,max_pair_bbox_iou,num_bbox_overlap_pairs,has_bbox_overlap,overlap_group,area_group,stratum,split,area_threshold,stratify_by,no_overlap_iou_max,overlap_iou_min,selected_eval,source_image_id
1,P0000_0000.png,P0000.png,P0000,0,0,1024,44,5372,0.005123138427734375,0.1273209549071618,7,True,overlap,high_mask_area,overlap__high_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,1
2,P0000_0001.png,P0000.png,P0000,1024,0,1024,1,164,0.000156402587890625,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,2
3,P0000_0002.png,P0000.png,P0000,2048,0,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0018463134765625,mask_area,0.0,0.001,False,3
4,P0000_0004.png,P0000.png,P0000,0,1024,1024,103,14829,0.014142036437988281,0.47668393782383417,34,True,overlap,high_mask_area,overlap__high_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,5
5,P0000_0005.png,P0000.png,P0000,1024,1024,1024,74,12032,0.011474609375,0.31550068587105623,33,True,overlap,high_mask_area,overlap__high_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,6
6,P0000_0006.png,P0000.png,P0000,2048,1024,1024,4,622,0.0005931854248046875,0.13471502590673576,3,True,overlap,low_mask_area,overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,7
7,P0000_0007.png,P0000.png,P0000,2851,1024,1024,9,1629,0.0015535354614257812,0.19718309859154928,5,True,overlap,low_mask_area,overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,8
8,P0000_0008.png,P0000.png,P0000,0,2048,1024,12,1637,0.0015611648559570312,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,9
9,P0000_0009.png,P0000.png,P0000,1024,2048,1024,78,14103,0.013449668884277344,0.16472545757071547,23,True,overlap,high_mask_area,overlap__high_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,10
10,P0000_0012.png,P0000.png,P0000,0,3072,1024,43,6705,0.006394386291503906,0.22857142857142856,18,True,overlap,high_mask_area,overlap__high_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,13
11,P0000_0014.png,P0000.png,P0000,2048,3072,1024,2,541,0.0005159378051757812,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,15
12,P0000_0015.png,P0000.png,P0000,2851,3072,1024,2,506,0.0004825592041015625,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,16
13,P0000_0016.png,P0000.png,P0000,0,4096,1024,3,612,0.000583648681640625,0.15752461322081576,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,17
14,P0000_0017.png,P0000.png,P0000,1024,4096,1024,2,364,0.000347137451171875,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,18
15,P0000_0020.png,P0000.png,P0000,0,4478,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0018463134765625,mask_area,0.0,0.001,False,21
16,P0000_0021.png,P0000.png,P0000,1024,4478,1024,1,169,0.00016117095947265625,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,22
17,P0000_0022.png,P0000.png,P0000,2048,4478,1024,0,0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.0018463134765625,mask_area,0.0,0.001,False,23
18,P0001_0000.png,P0001.png,P0001,0,0,1024,1,529,0.0005044937133789062,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,25
19,P0001_0001.png,P0001.png,P0001,228,0,1024,1,529,0.0005044937133789062,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.0018463134765625,mask_area,0.0,0.001,False,26
