image_id,file_name,source_file_name,tile_x,tile_y,tile_size,num_objects,mask_area_pixels,mask_area_ratio,max_pair_bbox_iou,num_bbox_overlap_pairs,has_bbox_overlap,overlap_group,area_group,stratum,area_threshold,stratify_by,low_object_count_max,high_object_count_min,no_overlap_iou_max,overlap_iou_min,selected_eval,source_image_id
22,P2027_0004.jpg,P2027.png,0,1152,1024,88,134121,0.1279077529907226,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,2888
7,P0801_0002.jpg,P0801.png,2048,0,1024,61,39794,0.0379505157470703,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,373
15,P1471_0017.jpg,P1471.png,2048,3072,1024,47,30500,0.0290870666503906,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,1733
16,P1471_0023.jpg,P1471.png,3072,4022,1024,38,24887,0.0237340927124023,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,1739
34,P0110_0002.jpg,P0110.png,1540,0,1024,2,30,2.86102294921875e-05,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,69
54,P2271_0006.jpg,P2271.png,5346,0,1024,1,55,5.245208740234375e-05,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,2961
35,P0932_0001.jpg,P0932.png,133,0,1024,1,101,9.632110595703124e-05,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,445
51,P1397_0032.jpg,P1397.png,5120,2442,1024,2,174,0.0001659393310546,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,1584
95,P2781_0005.jpg,P2781.png,1024,1024,1024,66,130778,0.1247196197509765,0.4931031764798613,71,True,overlap,high_mask_area,overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,3697
82,P1960_0002.jpg,P1960.png,0,578,1024,52,63095,0.0601720809936523,0.4818043146655044,58,True,overlap,high_mask_area,overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,2852
83,P1973_0001.jpg,P1973.png,979,0,1024,15,23343,0.022261619567871,0.4707508060801474,15,True,overlap,high_mask_area,overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,2855
84,P1973_0002.jpg,P1973.png,0,665,1024,57,113399,0.1081457138061523,0.4323593636269107,103,True,overlap,high_mask_area,overlap__high_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,2856
119,P2420_0001.jpg,P2420.png,814,0,1024,19,638,0.0006084442138671,0.3684210526315789,18,True,overlap,low_mask_area,overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,3164
118,P2404_0027.jpg,P2404.png,3072,3090,1024,15,621,0.0005922317504882,0.3555555555555555,3,True,overlap,low_mask_area,overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,3148
124,P2689_0002.jpg,P2689.png,2048,0,1024,80,4195,0.0040006637573242,0.3333333333333333,46,True,overlap,low_mask_area,overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,3411
122,P2547_0011.jpg,P2547.png,2704,1401,1024,109,3621,0.003453254699707,0.2903225806451613,4,True,overlap,low_mask_area,overlap__low_mask_area,0.0045356750488281,mask_area,5,20,0.0,0.05,True,3287
